"Variables ->","EM_Model_HumanCapital_epsiig___yd","EM_Model_HumanCapital_epsicge___yd","EM_Model_HumanCapital_epsiigeff30y___yd","EM_Model_HumanCapital_epsiigeff25y___yd","EM_Model_HumanCapital_epsicgeeff30y___yd","EM_Model_HumanCapital_epsicgeeff25y___yd","JAM_Model_HumanCapital_epsiig___yd","JAM_Model_HumanCapital_epsicge___yd","JAM_Model_HumanCapital_epsiigeff30y___yd","JAM_Model_HumanCapital_epsicgeeff30y___yd","EM_Model_HumanCapital_epsiig___C","EM_Model_HumanCapital_epsicge___C","EM_Model_HumanCapital_epsiigeff30y___C","EM_Model_HumanCapital_epsiigeff25y___C","EM_Model_HumanCapital_epsicgeeff30y___C","EM_Model_HumanCapital_epsicgeeff25y___C","JAM_Model_HumanCapital_epsiig___C","JAM_Model_HumanCapital_epsicge___C","JAM_Model_HumanCapital_epsiigeff30y___C","JAM_Model_HumanCapital_epsicgeeff30y___C","EM_Model_HumanCapital_epsiig___Ip","EM_Model_HumanCapital_epsicge___Ip","EM_Model_HumanCapital_epsiigeff30y___Ip","EM_Model_HumanCapital_epsiigeff25y___Ip","EM_Model_HumanCapital_epsicgeeff30y___Ip","EM_Model_HumanCapital_epsicgeeff25y___Ip","JAM_Model_HumanCapital_epsiig___Ip","JAM_Model_HumanCapital_epsicge___Ip","JAM_Model_HumanCapital_epsiigeff30y___Ip","JAM_Model_HumanCapital_epsicgeeff30y___Ip","EM_Model_HumanCapital_epsiig___Ig","EM_Model_HumanCapital_epsicge___Ig","EM_Model_HumanCapital_epsiigeff30y___Ig","EM_Model_HumanCapital_epsiigeff25y___Ig","EM_Model_HumanCapital_epsicgeeff30y___Ig","EM_Model_HumanCapital_epsicgeeff25y___Ig","JAM_Model_HumanCapital_epsiig___Ig","JAM_Model_HumanCapital_epsicge___Ig","JAM_Model_HumanCapital_epsiigeff30y___Ig","JAM_Model_HumanCapital_epsicgeeff30y___Ig","EM_Model_HumanCapital_epsiig___Cg","EM_Model_HumanCapital_epsicge___Cg","EM_Model_HumanCapital_epsiigeff30y___Cg","EM_Model_HumanCapital_epsiigeff25y___Cg","EM_Model_HumanCapital_epsicgeeff30y___Cg","EM_Model_HumanCapital_epsicgeeff25y___Cg","JAM_Model_HumanCapital_epsiig___Cg","JAM_Model_HumanCapital_epsicge___Cg","JAM_Model_HumanCapital_epsiigeff30y___Cg","JAM_Model_HumanCapital_epsicgeeff30y___Cg","EM_Model_HumanCapital_epsiig___Cge","EM_Model_HumanCapital_epsicge___Cge","EM_Model_HumanCapital_epsiigeff30y___Cge","EM_Model_HumanCapital_epsiigeff25y___Cge","EM_Model_HumanCapital_epsicgeeff30y___Cge","EM_Model_HumanCapital_epsicgeeff25y___Cge","JAM_Model_HumanCapital_epsiig___Cge","JAM_Model_HumanCapital_epsicge___Cge","JAM_Model_HumanCapital_epsiigeff30y___Cge","JAM_Model_HumanCapital_epsicgeeff30y___Cge","EM_Model_HumanCapital_epsiig___Cgrd","EM_Model_HumanCapital_epsicge___Cgrd","EM_Model_HumanCapital_epsiigeff30y___Cgrd","EM_Model_HumanCapital_epsiigeff25y___Cgrd","EM_Model_HumanCapital_epsicgeeff30y___Cgrd","EM_Model_HumanCapital_epsicgeeff25y___Cgrd","JAM_Model_HumanCapital_epsiig___Cgrd","JAM_Model_HumanCapital_epsicge___Cgrd","JAM_Model_HumanCapital_epsiigeff30y___Cgrd","JAM_Model_HumanCapital_epsicgeeff30y___Cgrd","EM_Model_HumanCapital_epsiig___H","EM_Model_HumanCapital_epsicge___H","EM_Model_HumanCapital_epsiigeff30y___H","EM_Model_HumanCapital_epsiigeff25y___H","EM_Model_HumanCapital_epsicgeeff30y___H","EM_Model_HumanCapital_epsicgeeff25y___H","JAM_Model_HumanCapital_epsiig___H","JAM_Model_HumanCapital_epsicge___H","JAM_Model_HumanCapital_epsiigeff30y___H","JAM_Model_HumanCapital_epsicgeeff30y___H","EM_Model_HumanCapital_epsiig___Lab","EM_Model_HumanCapital_epsicge___Lab","EM_Model_HumanCapital_epsiigeff30y___Lab","EM_Model_HumanCapital_epsiigeff25y___Lab","EM_Model_HumanCapital_epsicgeeff30y___Lab","EM_Model_HumanCapital_epsicgeeff25y___Lab","JAM_Model_HumanCapital_epsiig___Lab","JAM_Model_HumanCapital_epsicge___Lab","JAM_Model_HumanCapital_epsiigeff30y___Lab","JAM_Model_HumanCapital_epsicgeeff30y___Lab","EM_Model_HumanCapital_epsiig___E","EM_Model_HumanCapital_epsicge___E","EM_Model_HumanCapital_epsiigeff30y___E","EM_Model_HumanCapital_epsiigeff25y___E","EM_Model_HumanCapital_epsicgeeff30y___E","EM_Model_HumanCapital_epsicgeeff25y___E","JAM_Model_HumanCapital_epsiig___E","JAM_Model_HumanCapital_epsicge___E","JAM_Model_HumanCapital_epsiigeff30y___E","JAM_Model_HumanCapital_epsicgeeff30y___E","EM_Model_HumanCapital_epsiig___effshock","EM_Model_HumanCapital_epsicge___effshock","EM_Model_HumanCapital_epsiigeff30y___effshock","EM_Model_HumanCapital_epsiigeff25y___effshock","EM_Model_HumanCapital_epsicgeeff30y___effshock","EM_Model_HumanCapital_epsicgeeff25y___effshock","JAM_Model_HumanCapital_epsiig___effshock","JAM_Model_HumanCapital_epsicge___effshock","JAM_Model_HumanCapital_epsiigeff30y___effshock","JAM_Model_HumanCapital_epsicgeeff30y___effshock","EM_Model_HumanCapital_epsiig___effgeshock","EM_Model_HumanCapital_epsicge___effgeshock","EM_Model_HumanCapital_epsiigeff30y___effgeshock","EM_Model_HumanCapital_epsiigeff25y___effgeshock","EM_Model_HumanCapital_epsicgeeff30y___effgeshock","EM_Model_HumanCapital_epsicgeeff25y___effgeshock","JAM_Model_HumanCapital_epsiig___effgeshock","JAM_Model_HumanCapital_epsicge___effgeshock","JAM_Model_HumanCapital_epsiigeff30y___effgeshock","JAM_Model_HumanCapital_epsicgeeff30y___effgeshock","EM_Model_HumanCapital_epsiig___TFP","EM_Model_HumanCapital_epsicge___TFP","EM_Model_HumanCapital_epsiigeff30y___TFP","EM_Model_HumanCapital_epsiigeff25y___TFP","EM_Model_HumanCapital_epsicgeeff30y___TFP","EM_Model_HumanCapital_epsicgeeff25y___TFP","JAM_Model_HumanCapital_epsiig___TFP","JAM_Model_HumanCapital_epsicge___TFP","JAM_Model_HumanCapital_epsiigeff30y___TFP","JAM_Model_HumanCapital_epsicgeeff30y___TFP","EM_Model_HumanCapital_epsiig___ZZRD","EM_Model_HumanCapital_epsicge___ZZRD","EM_Model_HumanCapital_epsiigeff30y___ZZRD","EM_Model_HumanCapital_epsiigeff25y___ZZRD","EM_Model_HumanCapital_epsicgeeff30y___ZZRD","EM_Model_HumanCapital_epsicgeeff25y___ZZRD","JAM_Model_HumanCapital_epsiig___ZZRD","JAM_Model_HumanCapital_epsicge___ZZRD","JAM_Model_HumanCapital_epsiigeff30y___ZZRD","JAM_Model_HumanCapital_epsicgeeff30y___ZZRD","EM_Model_HumanCapital_epsiig___AAt","EM_Model_HumanCapital_epsicge___AAt","EM_Model_HumanCapital_epsiigeff30y___AAt","EM_Model_HumanCapital_epsiigeff25y___AAt","EM_Model_HumanCapital_epsicgeeff30y___AAt","EM_Model_HumanCapital_epsicgeeff25y___AAt","JAM_Model_HumanCapital_epsiig___AAt","JAM_Model_HumanCapital_epsicge___AAt","JAM_Model_HumanCapital_epsiigeff30y___AAt","JAM_Model_HumanCapital_epsicgeeff30y___AAt"
"2025Y",0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
"2026Y",-0.063,0.177,-0.457,-0.299,0.409,0.341,-0.153,0.142,-0.582,0.395,1.122,0.669,2.136,1.779,0.922,0.837,1.698,0.669,2.744,0.973,-3.198,-0.917,-7.610,-5.964,-0.502,-0.597,-5.300,-1.147,-10.081,-0.799,20.000,0.000,20.000,20.000,0.000,0.000,33.333,0.000,33.333,0.000,-7.143,-7.143,-7.143,-7.143,-7.143,-7.143,-7.143,-7.143,-7.143,-7.143,0.000,50.000,0.000,0.000,50.000,50.000,0.000,50.000,0.000,50.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,-0.005,-0.134,-0.076,-0.057,-0.231,-0.200,-0.002,-0.131,-0.068,-0.243,-0.429,0.395,-0.933,-0.723,0.815,0.690,-0.735,0.343,-1.294,0.806,-0.257,-3.424,-1.191,-1.008,-5.660,-4.954,-0.217,-3.267,-1.021,-5.831,0.000,0.000,0.028,0.017,0.000,0.000,0.000,0.000,0.028,0.000,0.000,0.000,0.000,0.000,0.021,0.013,0.000,0.000,0.000,0.024,0.372,-0.086,0.382,0.372,-0.136,-0.120,0.558,-0.083,0.569,-0.141,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.005,-0.001,0.001,0.003,-0.002,-0.001,0.007,-0.001,0.003,-0.002
"2027Y",0.387,-0.125,-0.010,0.138,0.016,-0.019,0.519,-0.149,0.085,-0.008,1.272,0.682,2.322,1.950,0.949,0.862,1.887,0.679,2.960,0.995,-1.534,-2.331,-6.049,-4.414,-2.371,-2.304,-2.725,-2.511,-7.603,-2.713,20.000,0.000,20.000,20.000,0.000,0.000,33.333,0.000,33.333,0.000,-7.143,-7.143,-7.143,-7.143,-7.143,-7.143,-7.143,-7.143,-7.143,-7.143,0.000,50.000,0.000,0.000,50.000,50.000,0.000,50.000,0.000,50.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,-0.021,-0.053,-0.130,-0.105,-0.239,-0.181,-0.018,-0.065,-0.116,-0.278,-0.269,0.012,-0.764,-0.559,0.380,0.277,-0.486,-0.012,-1.049,0.390,-0.388,-2.058,-1.335,-1.160,-4.301,-3.613,-0.399,-2.015,-1.189,-4.587,0.000,0.000,0.055,0.033,0.000,0.000,0.000,0.000,0.055,0.000,0.000,0.000,0.000,0.000,0.043,0.026,0.000,0.000,0.000,0.049,0.799,-0.065,0.958,0.883,-0.181,-0.144,1.202,-0.069,1.365,-0.203,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.012,-0.003,0.005,0.007,-0.004,-0.003,0.014,-0.002,0.008,-0.004
"2028Y",0.791,-0.233,0.514,0.603,-0.185,-0.186,1.123,-0.261,0.801,-0.234,1.490,0.723,2.662,2.243,0.994,0.906,2.172,0.711,3.347,1.032,-0.253,-2.928,-4.542,-3.050,-3.406,-3.184,-0.721,-3.113,-5.364,-3.849,20.000,0.000,20.000,20.000,0.000,0.000,33.333,0.000,33.333,0.000,-7.143,-7.143,-7.143,-7.143,-7.143,-7.143,-7.143,-7.143,-7.143,-7.143,0.000,50.000,0.000,0.000,50.000,50.000,0.000,50.000,0.000,50.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,-0.041,0.189,-0.186,-0.155,-0.052,0.018,-0.040,0.152,-0.166,-0.126,-0.170,-0.222,-0.650,-0.452,0.089,0.011,-0.319,-0.233,-0.874,0.101,-0.485,-1.075,-1.461,-1.289,-3.244,-2.609,-0.541,-1.094,-1.331,-3.579,0.000,0.000,0.083,0.050,0.000,0.000,0.000,0.000,0.083,0.000,0.000,0.000,0.000,0.000,0.064,0.038,0.000,0.000,0.000,0.073,1.164,0.080,1.577,1.395,-0.082,-0.034,1.757,0.059,2.173,-0.128,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.019,-0.003,0.011,0.013,-0.006,-0.005,0.023,-0.003,0.016,-0.006
"2029Y",1.150,-0.187,1.088,1.082,-0.219,-0.191,1.661,-0.229,1.542,-0.299,1.747,0.816,3.127,2.628,1.091,1.002,2.515,0.787,3.869,1.113,0.717,-2.961,-3.127,-1.862,-3.813,-3.459,0.815,-3.175,-3.376,-4.369,20.000,0.000,20.000,20.000,0.000,0.000,33.333,0.000,33.333,0.000,-7.143,-7.143,-7.143,-7.143,-7.143,-7.143,-7.143,-7.143,-7.143,-7.143,0.000,50.000,0.000,0.000,50.000,50.000,0.000,50.000,0.000,50.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,-0.063,0.544,-0.242,-0.205,0.289,0.355,-0.065,0.476,-0.218,0.180,-0.119,-0.357,-0.588,-0.394,-0.102,-0.155,-0.220,-0.361,-0.764,-0.095,-0.553,-0.384,-1.562,-1.395,-2.430,-1.870,-0.644,-0.430,-1.443,-2.769,0.000,0.000,0.111,0.066,0.000,0.000,0.000,0.000,0.111,0.000,0.000,0.000,0.000,0.000,0.085,0.051,0.000,0.000,0.000,0.098,1.476,0.312,2.229,1.907,0.132,0.180,2.236,0.270,2.988,0.061,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.027,-0.003,0.019,0.021,-0.007,-0.005,0.033,-0.003,0.027,-0.007
"2030Y",1.468,-0.028,1.700,1.570,-0.117,-0.071,2.139,-0.089,2.300,-0.229,2.022,0.969,3.692,3.083,1.258,1.162,2.890,0.916,4.496,1.257,1.454,-2.635,-1.798,-0.817,-3.779,-3.326,1.995,-2.882,-1.598,-4.437,20.000,0.000,20.000,20.000,0.000,0.000,33.333,0.000,33.333,0.000,-7.143,-7.143,-7.143,-7.143,-7.143,-7.143,-7.143,-7.143,-7.143,-7.143,0.000,50.000,0.000,0.000,50.000,50.000,0.000,50.000,0.000,50.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,-0.085,0.976,-0.297,-0.256,0.751,0.795,-0.092,0.875,-0.270,0.614,-0.102,-0.434,-0.565,-0.374,-0.235,-0.262,-0.170,-0.434,-0.703,-0.233,-0.600,0.092,-1.642,-1.482,-1.800,-1.330,-0.718,0.040,-1.530,-2.116,0.000,0.000,0.138,0.083,0.000,0.000,0.000,0.000,0.138,0.000,0.000,0.000,0.000,0.000,0.107,0.064,0.000,0.000,0.000,0.122,1.745,0.602,2.906,2.419,0.436,0.472,2.651,0.537,3.807,0.344,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.036,-0.001,0.031,0.031,-0.006,-0.004,0.044,-0.001,0.040,-0.007
"2031Y",1.749,0.212,2.341,2.063,0.094,0.147,2.565,0.130,3.068,-0.047,2.302,1.182,4.336,3.591,1.499,1.392,3.277,1.097,5.206,1.470,2.014,-2.092,-0.545,0.115,-3.444,-2.926,2.904,-2.367,0.009,-4.181,20.000,0.000,20.000,20.000,0.000,0.000,33.333,0.000,33.333,0.000,-7.143,-7.143,-7.143,-7.143,-7.143,-7.143,-7.143,-7.143,-7.143,-7.143,0.000,50.000,0.000,0.000,50.000,50.000,0.000,50.000,0.000,50.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,-0.106,1.456,-0.350,-0.305,1.309,1.312,-0.120,1.323,-0.320,1.151,-0.107,-0.480,-0.572,-0.380,-0.336,-0.336,-0.154,-0.473,-0.679,-0.338,-0.631,0.408,-1.706,-1.555,-1.309,-0.940,-0.772,0.363,-1.599,-1.585,0.000,0.000,0.166,0.100,0.000,0.000,0.000,0.000,0.166,0.000,0.000,0.000,0.000,0.000,0.128,0.077,0.000,0.000,0.000,0.147,1.977,0.932,3.602,2.930,0.811,0.822,3.012,0.844,4.625,0.702,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.045,0.003,0.046,0.043,-0.003,-0.001,0.055,0.002,0.055,-0.005
"2032Y",1.998,0.509,3.002,2.558,0.391,0.440,2.945,0.406,3.844,0.226,2.576,1.449,5.043,4.139,1.816,1.688,3.663,1.327,5.977,1.753,2.440,-1.432,0.641,0.955,-2.910,-2.359,3.605,-1.725,1.478,-3.696,20.000,0.000,20.000,20.000,0.000,0.000,33.333,0.000,33.333,0.000,-7.143,-7.143,-7.143,-7.143,-7.143,-7.143,-7.143,-7.143,-7.143,-7.143,0.000,50.000,0.000,0.000,50.000,50.000,0.000,50.000,0.000,50.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,-0.127,1.963,-0.400,-0.353,1.942,1.884,-0.147,1.801,-0.368,1.772,-0.126,-0.508,-0.602,-0.407,-0.421,-0.392,-0.161,-0.494,-0.682,-0.425,-0.652,0.605,-1.757,-1.617,-0.924,-0.664,-0.810,0.576,-1.653,-1.148,0.000,0.000,0.194,0.116,0.000,0.000,0.000,0.000,0.194,0.000,0.000,0.000,0.000,0.000,0.149,0.090,0.000,0.000,0.000,0.171,2.177,1.283,4.310,3.439,1.241,1.214,3.327,1.174,5.441,1.123,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.054,0.008,0.064,0.056,0.001,0.004,0.067,0.006,0.073,-0.002
"2033Y",2.218,0.843,3.679,3.053,0.755,0.788,3.285,0.720,4.623,0.573,2.838,1.763,5.797,4.714,2.201,2.044,4.038,1.600,6.795,2.105,2.765,-0.720,1.773,1.723,-2.249,-1.695,4.147,-1.021,2.839,-3.056,20.000,0.000,20.000,20.000,0.000,0.000,33.333,0.000,33.333,0.000,-7.143,-7.143,-7.143,-7.143,-7.143,-7.143,-7.143,-7.143,-7.143,-7.143,0.000,50.000,0.000,0.000,50.000,50.000,0.000,50.000,0.000,50.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,-0.147,2.482,-0.448,-0.399,2.634,2.496,-0.172,2.293,-0.414,2.464,-0.154,-0.528,-0.647,-0.448,-0.500,-0.441,-0.183,-0.505,-0.706,-0.504,-0.665,0.715,-1.796,-1.671,-0.618,-0.473,-0.836,0.704,-1.695,-0.786,0.000,0.000,0.221,0.133,0.000,0.000,0.000,0.000,0.221,0.000,0.000,0.000,0.000,0.000,0.171,0.102,0.000,0.000,0.000,0.195,2.351,1.645,5.027,3.944,1.715,1.635,3.603,1.517,6.251,1.595,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.063,0.016,0.083,0.072,0.008,0.011,0.078,0.012,0.093,0.003
"2034Y",2.413,1.199,4.367,3.546,1.170,1.176,3.588,1.059,5.404,0.979,3.085,2.112,6.586,5.309,2.649,2.453,4.397,1.907,7.646,2.520,3.013,0.001,2.864,2.432,-1.513,-0.983,4.567,-0.299,4.119,-2.314,20.000,0.000,20.000,20.000,0.000,0.000,33.333,0.000,33.333,0.000,-7.143,-7.143,-7.143,-7.143,-7.143,-7.143,-7.143,-7.143,-7.143,-7.143,0.000,50.000,0.000,0.000,50.000,50.000,0.000,50.000,0.000,50.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,-0.165,3.000,-0.492,-0.443,3.370,3.134,-0.197,2.789,-0.457,3.211,-0.186,-0.544,-0.703,-0.500,-0.577,-0.487,-0.216,-0.511,-0.743,-0.579,-0.672,0.760,-1.828,-1.718,-0.372,-0.348,-0.854,0.770,-1.728,-0.480,0.000,0.000,0.249,0.149,0.000,0.000,0.000,0.000,0.249,0.000,0.000,0.000,0.000,0.000,0.192,0.115,0.000,0.000,0.000,0.220,2.502,2.009,5.747,4.447,2.222,2.078,3.844,1.864,7.054,2.107,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.072,0.024,0.105,0.088,0.017,0.019,0.090,0.018,0.115,0.010
